Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.35,52.08,33.59,3.01,3.65,1.31,0.64,1.21,NA,NA,NA,5,38.66,0.67,57.7,0.57
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.24,51.43,39.23,3.06,3.06,1.33,0.76,1,NA,NA,NA,5,37.51,1.5,25.01,0.55
Reference,Epacris,Epacris impressa,NA,2,1,3,2,1,72.61,51.17,36.32,3.56,3.38,1.42,0.71,0.95,NA,NA,NA,5,36.3,1.08,33.61,0.5
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,71.39,43.84,36.57,3.53,4.55,1.63,0.83,1.29,NA,NA,NA,5,38.33,1.87,20.5,0.54
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,66.38,49.23,34.74,2.78,3.39,1.35,0.71,1.22,NA,NA,NA,5,35.93,1.06,33.9,0.54
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,73.5,56.6,36.9,3.34,3.44,1.3,0.65,1.03,NA,NA,NA,5,40.97,0.86,47.64,0.56
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,71.23,49.87,35.2,3.41,3.06,1.43,0.71,0.9,NA,NA,NA,5,38.15,0.91,41.92,0.54
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,68.41,48.32,36.71,2.61,3.07,1.42,0.76,1.18,NA,NA,NA,5,32.28,1.63,19.8,0.47
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,59.17,46.66,30.46,2.73,3.18,1.27,0.65,1.16,NA,NA,NA,5,29.93,0.89,33.63,0.51
Reference,Epacris,Epacris impressa,NA,2,1,3,1,1,61.32,44.49,31.98,3.09,2.93,1.38,0.72,0.95,NA,NA,NA,5,31.86,0.87,36.62,0.52
