Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.97,NA,1.75,NA,NA,NA,24.06,1.08,NA,6,11.43,4.57,2.5,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.68,NA,1.87,NA,NA,NA,24.51,1.01,NA,6,11,4.17,2.64,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.6,NA,2.13,NA,NA,NA,25.03,1.06,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.35,NA,1.83,NA,NA,NA,21.68,1.03,NA,6,15.87,2.59,6.13,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,22.67,NA,1.35,NA,NA,NA,19.83,1.14,NA,7,13.21,3.37,3.92,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.48,NA,1.62,NA,NA,NA,25.13,0.97,NA,4,12,4.17,2.88,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.48,NA,1.62,NA,NA,NA,24.35,1.09,NA,6,15.33,4.67,3.28,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,21.33,NA,1.57,NA,NA,NA,24.43,0.87,NA,3,14.05,4.56,3.08,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.71,NA,1.54,NA,NA,NA,24.17,0.98,NA,4,18.05,2.84,6.36,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.9,NA,1.79,NA,NA,NA,24.29,1.11,NA,6,14.71,3.51,4.19,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,20.13,NA,2.37,NA,NA,NA,19.71,1.02,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.63,NA,2.06,NA,NA,NA,25.46,1.05,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,26.62,NA,1.94,NA,NA,NA,25.1,1.06,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,24.46,NA,2.02,NA,NA,NA,23.44,1.04,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,28.68,NA,2.46,NA,NA,NA,25.46,1.13,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.56,NA,1.65,NA,NA,NA,23.9,0.99,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,23.11,NA,1.62,NA,NA,NA,21.6,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,25.83,NA,1.79,NA,NA,NA,24.78,1.04,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon ericoides,NA,1,NA,4,1,1,NA,NA,19.6,NA,1.97,NA,NA,NA,19.76,0.99,NA,4,16.68,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,NA,NA,1.84,NA,NA,NA,NA,NA,NA,NA,12.78,1.17,10.92,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,10.7,1.13,9.47,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,24.21,NA,1.71,NA,NA,NA,24.3,1,NA,4,17.51,1.3,13.47,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,24.49,NA,1.56,NA,NA,NA,24.86,0.99,NA,4,18.87,1.48,12.75,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,24.16,NA,1.3,NA,NA,NA,25.9,0.93,NA,4,19.86,0.92,21.59,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,25.16,NA,1.41,NA,NA,NA,26.06,0.97,NA,4,18.46,1.52,12.14,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,24.33,NA,1.65,NA,NA,NA,26.65,0.91,NA,4,20.75,1.06,19.58,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,21.46,NA,1.54,NA,NA,NA,25.19,0.85,NA,3,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,25.75,NA,1.54,NA,NA,NA,27.6,0.93,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,21.76,NA,1.75,NA,NA,NA,24.71,0.88,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,23.83,NA,1.7,NA,NA,NA,27.87,0.86,NA,3,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,22.11,NA,1.54,NA,NA,NA,26.19,0.84,NA,3,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,21.89,NA,1.71,NA,NA,NA,26.14,0.84,NA,3,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,23.13,NA,1.6,NA,NA,NA,26.38,0.88,NA,3,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,NA,NA,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,22.65,NA,1.43,NA,NA,NA,23.27,0.97,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,24.86,NA,2.22,NA,NA,NA,27.57,0.9,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,23.57,NA,2.02,NA,NA,NA,25.79,0.91,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,29.25,NA,3.03,NA,NA,NA,24.08,1.21,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,30.21,NA,2.29,NA,NA,NA,25.1,1.2,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,28.33,NA,2.57,NA,NA,NA,28.33,1,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,33.25,NA,3.35,NA,NA,NA,30.89,1.08,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,32.43,NA,2.78,NA,NA,NA,27.27,1.19,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,34.06,NA,2.4,NA,NA,NA,33.83,1.01,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,34.7,NA,3.3,NA,NA,NA,30.6,1.13,NA,6,NA,1.27,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,34.4,NA,2.94,NA,NA,NA,30.79,1.12,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,34.38,NA,2.73,NA,NA,NA,31.1,1.11,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon lanceolatus,NA,1,NA,4,1,1,NA,NA,35.87,NA,3.11,NA,NA,NA,34.73,1.03,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,25.67,NA,2.81,NA,NA,NA,23,1.12,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,26.71,NA,2.86,NA,NA,NA,21.1,1.27,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,27.16,NA,1.95,NA,NA,NA,24.25,1.12,NA,6,9.49,2.03,4.67,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,26.95,NA,2.78,NA,NA,NA,22.78,1.18,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,31,NA,3.02,NA,NA,NA,28.54,1.09,NA,6,10.76,1.6,6.73,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,30.73,NA,2.24,NA,NA,NA,29.02,1.06,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,30.92,NA,3.38,NA,NA,NA,28.95,1.07,NA,6,9.1,0.84,12.13,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,30.89,NA,2.38,NA,NA,NA,24.38,1.27,NA,7,12.25,0.75,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,31.24,NA,2.89,NA,NA,NA,29.76,1.05,NA,6,8.78,2.14,4.1,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,34.62,NA,2.7,NA,NA,NA,31.02,1.12,NA,6,7.95,2.52,3.15,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,29.4,NA,2.65,NA,NA,NA,24.7,1.19,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,24.94,NA,2.38,NA,NA,NA,20.97,1.19,NA,7,6.95,0.81,8.58,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,26.35,NA,2.11,NA,NA,NA,24.49,1.08,NA,6,7.62,1.17,6.51,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,28.06,NA,2.73,NA,NA,NA,25.02,1.12,NA,6,7.03,2.08,3.38,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,24.67,NA,2.43,NA,NA,NA,24.27,1.02,NA,6,7.25,1.14,6.36,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,25.63,NA,1.71,NA,NA,NA,23.71,1.08,NA,6,4.63,0.76,6.09,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,NA,NA,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,NA,NA,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,26.83,NA,1.95,NA,NA,NA,25.29,1.06,NA,6,12.67,1.87,6.78,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,26.98,NA,2.1,NA,NA,NA,24.78,1.09,NA,6,12.46,2.16,5.77,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,25.22,NA,2.29,NA,NA,NA,25.43,0.99,NA,4,NA,1.4,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,34.71,NA,3.6,NA,NA,NA,37.76,0.92,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,34,NA,3.6,NA,NA,NA,34.22,0.99,NA,4,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,33.49,NA,3.41,NA,NA,NA,34.84,0.96,NA,4,13.75,1.56,8.81,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,31.35,NA,3.44,NA,NA,NA,29.27,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,30.95,NA,3.17,NA,NA,NA,33.52,0.92,NA,4,8.57,0.75,11.43,NA
Reference,Leucopogon,Leucopogon parviflorus,NA,1,NA,4,1,1,NA,NA,35.13,NA,2.73,NA,NA,NA,35.76,0.98,NA,4,16.71,3.62,4.62,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,30,NA,2.52,NA,NA,NA,27.92,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,31.54,NA,2.97,NA,NA,NA,28.24,1.12,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,34.38,NA,2.13,NA,NA,NA,27.49,1.25,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,28.1,NA,2.44,NA,NA,NA,25.63,1.1,NA,6,19.68,2.33,8.45,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,28.44,NA,3.02,NA,NA,NA,23.43,1.21,NA,7,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,26.3,NA,3.22,NA,NA,NA,23.46,1.12,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,24.71,NA,3.56,NA,NA,NA,21.75,1.14,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,30.02,NA,2.35,NA,NA,NA,27,1.11,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.73,NA,2.81,NA,NA,NA,25.95,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,25.54,NA,3.22,NA,NA,NA,24.29,1.05,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,26.67,NA,2.11,NA,NA,NA,24.32,1.1,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,26.86,NA,2.16,NA,NA,NA,24.02,1.12,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.08,NA,1.76,NA,NA,NA,25.94,1.04,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,28.54,NA,2.03,NA,NA,NA,25.63,1.11,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.57,NA,2.79,NA,NA,NA,26.83,1.03,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,24.57,NA,1.75,NA,NA,NA,23.83,1.03,NA,6,10.32,2.27,4.55,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,22.13,NA,1.97,NA,NA,NA,22.22,1,NA,4,9.22,3.08,2.99,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,24.68,NA,1.97,NA,NA,NA,23.49,1.05,NA,6,11.17,3.75,2.98,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,26.13,NA,3.68,NA,NA,NA,26.49,0.99,NA,4,9.4,2.9,3.24,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.97,NA,3.16,NA,NA,NA,26.08,1.07,NA,6,12.21,3.48,3.51,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,23.63,NA,2.4,NA,NA,NA,22.16,1.07,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.35,NA,2.75,NA,NA,NA,25.43,1.08,NA,6,10.86,3.6,3.02,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,25.3,NA,2.79,NA,NA,NA,25.75,0.98,NA,4,9.41,2.43,3.87,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,29.48,NA,3.59,NA,NA,NA,28.7,1.03,NA,6,NA,3.32,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,25.65,NA,2.78,NA,NA,NA,25.65,1,NA,4,NA,3.75,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,24.78,NA,2.62,NA,NA,NA,23.7,1.05,NA,6,NA,NA,NA,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,23.57,NA,3.24,NA,NA,NA,23.57,1,NA,4,9.16,2.92,3.14,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.29,NA,2.54,NA,NA,NA,25.27,1.08,NA,6,10.9,3.78,2.88,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.11,NA,1.78,NA,NA,NA,24.95,1.09,NA,6,9.76,2.25,4.34,NA
Reference,Leucopogon,Leucopogon virgatus,NA,1,NA,4,1,1,NA,NA,27.97,NA,1.87,NA,NA,NA,26.19,1.07,NA,6,8.62,2.87,3,NA
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,50.89,34.37,23.68,2.94,7.62,1.48,0.69,2.59,NA,NA,NA,5,14.02,1.25,11.22,0.28
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,53.27,41.17,24.79,2.67,5.21,1.29,0.6,1.95,NA,NA,NA,5,16.89,3.71,4.55,0.32
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,46.51,33.86,23.56,3.06,5.03,1.37,0.7,1.64,NA,NA,NA,5,15.37,2.16,7.12,0.33
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,48.52,33.05,23.37,2.76,4.21,1.47,0.71,1.53,NA,NA,NA,5,14.73,2.29,6.43,0.3
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,49.67,37.97,24.79,3.32,5.03,1.31,0.65,1.52,NA,NA,NA,5,17.41,1.76,9.89,0.35
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,51.41,39.54,26.33,2.92,4.57,1.3,0.67,1.57,NA,NA,NA,5,NA,2.05,NA,NA
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,51.25,40.7,29.89,3.11,4.51,1.26,0.73,1.45,NA,NA,NA,5,19.43,1.32,14.72,0.38
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,50.9,38.52,24.63,2.06,4.68,1.32,0.64,2.27,NA,NA,NA,5,12.7,1.68,7.56,0.25
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,48.81,37.02,25.51,2.32,4.11,1.32,0.69,1.77,NA,NA,NA,5,14.59,2.11,6.91,0.3
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,50.62,39.24,25.16,2.78,4.48,1.29,0.64,1.61,NA,NA,NA,5,14.29,1.71,8.36,0.28
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,53.68,43.19,25.38,2.81,5.02,1.24,0.59,1.79,NA,NA,NA,5,20.63,3.02,6.83,0.38
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,51.37,33.38,26.11,2.27,5.3,1.54,0.78,2.33,NA,NA,NA,5,16.65,1.25,13.32,0.32
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,50.65,41.59,27.19,2.79,4.54,1.22,0.65,1.63,NA,NA,NA,5,16.49,1.38,11.95,0.33
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,52.52,35.86,22.81,3.89,4.43,1.46,0.64,1.14,NA,NA,NA,5,18.33,1.46,12.55,0.35
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,59.16,39.89,28.6,3.33,4.6,1.48,0.72,1.38,NA,NA,NA,5,17.46,2.6,6.72,0.3
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,58.22,32.41,28.03,3.08,4.49,1.8,0.86,1.46,NA,NA,NA,5,18.86,1.27,14.85,0.32
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,55.54,36.11,26.38,4.03,4.41,1.54,0.73,1.09,NA,NA,NA,5,20.08,1.11,18.09,0.36
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,54.7,42.94,27.41,3.11,3.87,1.27,0.64,1.24,NA,NA,NA,5,15.46,0.95,16.27,0.28
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,58.75,38.59,29.32,4.24,4.49,1.52,0.76,1.06,NA,NA,NA,5,14.54,1.59,9.14,0.25
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,49.32,39.33,24.29,2.29,4.41,1.25,0.62,1.93,NA,NA,NA,5,13.14,1.54,8.53,0.27
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,48.25,35.92,23.59,2.57,3.87,1.34,0.66,1.51,NA,NA,NA,5,13.49,0.86,15.69,0.28
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,53.13,35.02,26.35,4.13,5.08,1.52,0.75,1.23,NA,NA,NA,5,19.75,1.52,12.99,0.37
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,52.94,37.27,26.7,3.44,5.11,1.42,0.72,1.49,NA,NA,NA,5,16.33,1.46,11.18,0.31
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,54.22,36.19,28.65,3.44,4.06,1.5,0.79,1.18,NA,NA,NA,5,16.78,0.79,21.24,0.31
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,55.81,31.75,28.46,2.92,3.84,1.76,0.9,1.32,NA,NA,NA,5,19.65,1.63,12.06,0.35
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,50.35,42.79,29.73,3.17,4.44,1.18,0.69,1.4,NA,NA,NA,5,23.4,1.41,16.6,0.46
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,51.22,33.59,24.98,4,4.46,1.52,0.74,1.12,NA,NA,NA,5,19.49,0.94,20.73,0.38
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,49.87,40.63,25.56,3.25,4.57,1.23,0.63,1.41,NA,NA,NA,5,20.3,1.35,15.04,0.41
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,47.62,25.17,24.08,3.44,4.1,1.89,0.96,1.19,NA,NA,NA,5,14.67,1.48,9.91,0.31
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,5,56.38,36.43,28.6,2.52,4.56,1.55,0.79,1.81,NA,NA,NA,5,20.24,2.78,7.28,0.36
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,69.2,47.61,33.13,2.9,4.18,1.45,0.7,1.44,NA,NA,NA,5,30.02,3.75,8.01,0.43
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,65.75,49.14,32.97,4.58,3.61,1.34,0.67,0.79,NA,NA,NA,5,29.42,1.16,25.36,0.45
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,64.98,44.48,33.03,3.94,3.83,1.46,0.74,0.97,NA,NA,NA,5,27.57,3.18,8.67,0.42
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,70.03,50.55,36.18,3.56,4.2,1.39,0.72,1.18,NA,NA,NA,5,32.71,2.41,13.57,0.47
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,63.11,47.22,31.71,5.53,4.08,1.34,0.67,0.74,NA,NA,NA,5,27.92,1.36,20.53,0.44
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,60.02,46.82,31.87,5.17,5.17,1.28,0.68,1,NA,NA,NA,5,26.03,1.02,25.52,0.43
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,67.97,47.35,34.58,5.5,6.38,1.44,0.73,1.16,NA,NA,NA,5,28.69,2.97,9.66,0.42
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,54.75,38.23,31.46,3.09,3.78,1.43,0.82,1.22,NA,NA,NA,5,26.82,2.96,9.06,0.49
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,66.8,48.61,30.86,2.77,4.42,1.37,0.63,1.6,NA,NA,NA,5,29.79,3.8,7.84,0.45
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,4,64.02,48.3,32.55,4.49,4.02,1.33,0.67,0.9,NA,NA,NA,5,28.79,1.93,14.92,0.45
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,63.29,50.31,33.7,3.16,4.44,1.26,0.67,1.41,NA,NA,NA,5,29.82,3.71,8.04,0.47
Reference,Lissanthe,Lissanthe strigosa,NA,2,1,3,1,1,61.45,50.41,32.9,2.88,4.36,1.22,0.65,1.51,NA,NA,NA,5,26.31,2.12,12.41,0.43
